,Request.id,Pickup.point,Driver.id,Status,Request.timestamp,Drop.timestamp,Request.Hour,Drop.Hour,TimeSlot
37,5771,Airport,4,Trip Completed,7/15/2016 8:30,7/15/2016 9:37,8,9,Early morning(05-08)
38,6106,Airport,4,Trip Completed,7/15/2016 15:01,7/15/2016 15:47,15,15,Afternoon(12-16)
39,312,City,5,Trip Completed,7/11/2016 7:27,7/11/2016 8:31,7,8,Early morning(05-08)
40,577,Airport,5,Trip Completed,7/11/2016 11:03,7/11/2016 12:01,11,12,Morning(09-11)
41,1179,City,5,Trip Completed,7/11/2016 20:58,7/11/2016 21:45,20,21,Late evening(17-21)
42,1756,Airport,5,Trip Completed,7/12/2016 8:40,7/12/2016 9:23,8,9,Early morning(05-08)
43,2052,City,5,Trip Completed,7/12/2016 14:48,7/12/2016 15:50,14,15,Afternoon(12-16)
44,2559,City,5,Trip Completed,7/12/2016 21:32,7/12/2016 22:29,21,22,Late evening(17-21)
45,3014,City,5,Trip Completed,7/13/2016 7:28,7/13/2016 8:29,7,8,Early morning(05-08)
46,3317,City,5,Trip Completed,7/13/2016 12:14,7/13/2016 12:46,12,12,Afternoon(12-16)
47,4297,City,5,Trip Completed,7/14/2016 6:43,7/14/2016 7:49,6,7,Early morning(05-08)
48,5857,Airport,5,Trip Completed,7/15/2016 9:08,7/15/2016 10:07,9,10,Morning(09-11)
49,6690,Airport,5,Trip Completed,7/15/2016 22:41,7/15/2016 23:51,22,23,Night(22-24)
50,1517,Airport,6,Trip Completed,7/12/2016 5:45,7/12/2016 6:28,5,6,Early morning(05-08)
51,1999,Airport,6,Trip Completed,7/12/2016 13:02,7/12/2016 13:51,13,13,Afternoon(12-16)
52,2960,Airport,6,Trip Completed,7/13/2016 6:50,7/13/2016 7:40,6,7,Early morning(05-08)
53,3882,City,6,Trip Completed,7/13/2016 21:53,7/13/2016 22:45,21,22,Late evening(17-21)
54,4081,Airport,6,Trip Completed,7/14/2016 2:37,7/14/2016 3:30,2,3,Mid-night(00-04)
55,4740,City,6,Trip Completed,7/14/2016 14:50,7/14/2016 15:38,14,15,Afternoon(12-16)
56,5270,City,6,Trip Completed,7/14/2016 21:33,7/14/2016 22:25,21,22,Late evening(17-21)
57,6758,Airport,6,Trip Completed,7/15/2016 0:03,7/15/2016 1:07,0,1,Mid-night(00-04)
58,5741,City,6,Trip Completed,7/15/2016 7:52,7/15/2016 8:38,7,8,Early morning(05-08)
59,6087,Airport,6,Trip Completed,7/15/2016 14:28,7/15/2016 15:33,14,15,Afternoon(12-16)
60,1039,City,7,Trip Completed,7/11/2016 19:31,7/11/2016 20:41,19,20,Late evening(17-21)
61,1273,Airport,7,Trip Completed,7/11/2016 22:07,7/11/2016 23:12,22,23,Night(22-24)
62,2480,City,7,Trip Completed,7/12/2016 20:39,7/12/2016 21:28,20,21,Late evening(17-21)
63,4105,City,7,Trip Completed,7/14/2016 3:39,7/14/2016 4:39,3,4,Mid-night(00-04)
64,4509,City,7,Trip Completed,7/14/2016 9:11,7/14/2016 10:17,9,10,Morning(09-11)
65,4986,Airport,7,Trip Completed,7/14/2016 18:52,7/14/2016 19:50,18,19,Late evening(17-21)
66,5898,City,7,Trip Completed,7/15/2016 9:50,7/15/2016 10:40,9,10,Morning(09-11)
67,6142,Airport,7,Trip Completed,7/15/2016 15:50,7/15/2016 16:36,15,16,Afternoon(12-16)
68,380,Airport,8,Trip Completed,7/11/2016 8:18,7/11/2016 9:18,8,9,Early morning(05-08)
69,1050,Airport,8,Trip Completed,7/11/2016 19:39,7/11/2016 20:30,19,20,Late evening(17-21)
70,1769,City,8,Trip Completed,7/12/2016 8:57,7/12/2016 9:24,8,9,Early morning(05-08)
71,2520,City,8,Trip Completed,7/12/2016 21:05,7/12/2016 22:20,21,22,Late evening(17-21)
72,3265,Airport,8,Trip Completed,7/13/2016 10:22,7/13/2016 11:07,10,11,Morning(09-11)
73,4648,City,8,Trip Completed,7/14/2016 11:55,7/14/2016 12:59,11,12,Morning(09-11)
74,449,Airport,9,Trip Completed,7/11/2016 9:08,7/11/2016 9:52,9,9,Morning(09-11)
75,846,Airport,9,Trip Completed,7/11/2016 17:46,7/11/2016 18:52,17,18,Late evening(17-21)
76,1346,Airport,9,Trip Completed,7/11/2016 23:39,7/12/2016 0:23,23,0,Night(22-24)
77,1474,Airport,9,Trip Completed,7/12/2016 5:13,7/12/2016 5:56,5,5,Early morning(05-08)
78,2240,City,9,Trip Completed,7/12/2016 18:20,7/12/2016 18:54,18,18,Late evening(17-21)
79,3072,Airport,9,Trip Completed,7/13/2016 8:04,7/13/2016 8:36,8,8,Early morning(05-08)
80,3459,Airport,9,Trip Completed,7/13/2016 17:03,7/13/2016 17:31,17,17,Late evening(17-21)
81,3774,Airport,9,Trip Completed,7/13/2016 20:41,7/13/2016 21:27,20,21,Late evening(17-21)
82,4023,City,9,Trip Completed,7/13/2016 23:58,7/14/2016 0:58,23,0,Night(22-24)
83,4117,City,9,Trip Completed,7/14/2016 4:21,7/14/2016 5:07,4,5,Mid-night(00-04)
84,4880,Airport,9,Trip Completed,7/14/2016 17:58,7/14/2016 19:02,17,19,Late evening(17-21)
85,5568,Airport,9,Trip Completed,7/15/2016 5:47,7/15/2016 6:25,5,6,Early morning(05-08)
86,5994,Airport,9,Trip Completed,7/15/2016 11:51,7/15/2016 12:32,11,12,Morning(09-11)
87,1809,Airport,10,Trip Completed,7/12/2016 9:13,7/12/2016 10:01,9,10,Morning(09-11)
88,2064,Airport,10,Trip Completed,7/12/2016 15:08,7/12/2016 16:14,15,16,Afternoon(12-16)
89,3210,City,10,Trip Completed,7/13/2016 9:47,7/13/2016 10:52,9,10,Morning(09-11)
90,4350,City,10,Trip Completed,7/14/2016 7:24,7/14/2016 8:22,7,8,Early morning(05-08)
91,4713,City,10,Trip Completed,7/14/2016 13:31,7/14/2016 14:10,13,14,Afternoon(12-16)
92,5629,Airport,10,Trip Completed,7/15/2016 6:33,7/15/2016 7:19,6,7,Early morning(05-08)
93,6157,Airport,10,Trip Completed,7/15/2016 16:32,7/15/2016 17:44,16,17,Afternoon(12-16)
94,2030,City,11,Trip Completed,7/12/2016 14:11,7/12/2016 15:02,14,15,Afternoon(12-16)
95,3226,City,11,Trip Completed,7/13/2016 10:00,7/13/2016 11:02,10,11,Morning(09-11)
96,3353,City,11,Trip Completed,7/13/2016 13:29,7/13/2016 14:09,13,14,Afternoon(12-16)
97,4293,City,11,Trip Completed,7/14/2016 6:42,7/14/2016 7:12,6,7,Early morning(05-08)
98,4936,City,11,Trip Completed,7/14/2016 18:22,7/14/2016 19:14,18,19,Late evening(17-21)
99,5661,Airport,11,Trip Completed,7/15/2016 7:08,7/15/2016 7:59,7,7,Early morning(05-08)
100,5778,City,11,Trip Completed,7/15/2016 8:22,7/15/2016 9:13,8,9,Early morning(05-08)
101,6425,Airport,11,Trip Completed,7/15/2016 19:46,7/15/2016 20:26,19,20,Late evening(17-21)
102,45,Airport,12,Trip Completed,7/11/2016 3:17,7/11/2016 4:09,3,4,Mid-night(00-04)
103,264,City,12,Trip Completed,7/11/2016 6:51,7/11/2016 7:40,6,7,Early morning(05-08)
104,1183,City,12,Trip Completed,7/11/2016 21:05,7/11/2016 21:38,21,21,Late evening(17-21)
105,1536,Airport,12,Trip Completed,7/12/2016 5:59,7/12/2016 6:59,5,6,Early morning(05-08)
106,2437,City,12,Trip Completed,7/12/2016 20:18,7/12/2016 21:26,20,21,Late evening(17-21)
107,2641,Airport,12,Trip Completed,7/12/2016 22:28,7/12/2016 23:05,22,23,Night(22-24)
108,4077,Airport,12,Trip Completed,7/14/2016 2:14,7/14/2016 3:13,2,3,Mid-night(00-04)
109,4610,City,12,Trip Completed,7/14/2016 10:35,7/14/2016 11:39,10,11,Morning(09-11)
110,5066,Airport,12,Trip Completed,7/14/2016 19:31,7/14/2016 20:14,19,20,Late evening(17-21)
111,5666,Airport,12,Trip Completed,7/15/2016 7:04,7/15/2016 8:12,7,8,Early morning(05-08)
112,5923,City,12,Trip Completed,7/15/2016 10:07,7/15/2016 10:50,10,10,Morning(09-11)
113,6367,City,12,Trip Completed,7/15/2016 19:04,7/15/2016 19:46,19,19,Late evening(17-21)
114,155,City,13,Trip Completed,7/11/2016 5:32,7/11/2016 6:28,5,6,Early morning(05-08)
115,310,Airport,13,Trip Completed,7/11/2016 7:24,7/11/2016 8:28,7,8,Early morning(05-08)
116,607,City,13,Trip Completed,7/11/2016 11:51,7/11/2016 12:42,11,12,Morning(09-11)
117,1012,City,13,Trip Completed,7/11/2016 19:15,7/11/2016 19:57,19,19,Late evening(17-21)
118,1696,Airport,13,Trip Completed,7/12/2016 8:01,7/12/2016 8:42,8,8,Early morning(05-08)
119,3076,City,13,Trip Completed,7/13/2016 8:09,7/13/2016 9:12,8,9,Early morning(05-08)
120,4198,Airport,13,Trip Completed,7/14/2016 5:32,7/14/2016 6:45,5,6,Early morning(05-08)
121,4627,City,13,Trip Completed,7/14/2016 11:13,7/14/2016 12:00,11,12,Morning(09-11)
122,5289,City,13,Trip Completed,7/14/2016 21:43,7/14/2016 22:24,21,22,Late evening(17-21)
123,5495,Airport,13,Trip Completed,7/15/2016 5:00,7/15/2016 6:02,5,6,Early morning(05-08)
124,6656,Airport,13,Trip Completed,7/15/2016 22:08,7/15/2016 22:41,22,22,Night(22-24)
125,139,Airport,14,Trip Completed,7/11/2016 5:21,7/11/2016 6:09,5,6,Early morning(05-08)
126,215,City,14,Trip Completed,7/11/2016 6:15,7/11/2016 7:07,6,7,Early morning(05-08)
127,1816,City,14,Trip Completed,7/12/2016 9:24,7/12/2016 10:07,9,10,Morning(09-11)
128,2505,Airport,14,Trip Completed,7/12/2016 21:03,7/12/2016 22:14,21,22,Late evening(17-21)
129,3346,City,14,Trip Completed,7/13/2016 13:01,7/13/2016 13:55,13,13,Afternoon(12-16)
130,5294,City,14,Trip Completed,7/14/2016 21:45,7/14/2016 22:16,21,22,Late evening(17-21)
131,6226,Airport,14,Trip Completed,7/15/2016 17:34,7/15/2016 18:33,17,18,Late evening(17-21)
132,6733,Airport,14,Trip Completed,7/15/2016 23:32,7/16/2016 0:37,23,0,Night(22-24)
133,1027,Airport,15,Trip Completed,7/11/2016 19:18,7/11/2016 20:24,19,20,Late evening(17-21)
134,2675,Airport,15,Trip Completed,7/12/2016 23:43,7/13/2016 0:35,23,0,Night(22-24)
135,3200,City,15,Trip Completed,7/13/2016 9:39,7/13/2016 10:30,9,10,Morning(09-11)
136,3865,City,15,Trip Completed,7/13/2016 21:52,7/13/2016 22:21,21,22,Late evening(17-21)
137,4468,City,15,Trip Completed,7/14/2016 8:42,7/14/2016 9:22,8,9,Early morning(05-08)
138,5163,Airport,15,Trip Completed,7/14/2016 20:34,7/14/2016 21:05,20,21,Late evening(17-21)
139,6009,City,15,Trip Completed,7/15/2016 12:22,7/15/2016 13:25,12,13,Afternoon(12-16)
140,6448,Airport,15,Trip Completed,7/15/2016 20:02,7/15/2016 20:40,20,20,Late evening(17-21)
141,591,City,16,Trip Completed,7/11/2016 11:25,7/11/2016 12:31,11,12,Morning(09-11)
142,709,City,16,Trip Completed,7/11/2016 14:16,7/11/2016 15:03,14,15,Afternoon(12-16)
143,1167,Airport,16,Trip Completed,7/11/2016 20:50,7/11/2016 21:52,20,21,Late evening(17-21)
144,2661,Airport,16,Trip Completed,7/12/2016 23:23,7/13/2016 0:27,23,0,Night(22-24)
145,2808,City,16,Trip Completed,7/13/2016 5:05,7/13/2016 5:56,5,5,Early morning(05-08)
146,3258,Airport,16,Trip Completed,7/13/2016 10:12,7/13/2016 10:45,10,10,Morning(09-11)
147,3413,Airport,16,Trip Completed,7/13/2016 15:32,7/13/2016 16:45,15,16,Afternoon(12-16)
148,3939,Airport,16,Trip Completed,7/13/2016 22:26,7/13/2016 22:55,22,22,Night(22-24)
149,4125,City,16,Trip Completed,7/14/2016 4:37,7/14/2016 5:46,4,5,Mid-night(00-04)
150,4457,City,16,Trip Completed,7/14/2016 8:36,7/14/2016 9:19,8,9,Early morning(05-08)
151,4728,City,16,Trip Completed,7/14/2016 14:04,7/14/2016 15:06,14,15,Afternoon(12-16)
152,5347,Airport,16,Trip Completed,7/14/2016 22:51,7/14/2016 23:53,22,23,Night(22-24)
153,6147,City,16,Trip Completed,7/15/2016 16:11,7/15/2016 17:30,16,17,Afternoon(12-16)
154,6496,Airport,16,Trip Completed,7/15/2016 20:33,7/15/2016 21:32,20,21,Late evening(17-21)
155,634,City,17,Trip Completed,7/11/2016 12:25,7/11/2016 13:06,12,13,Afternoon(12-16)
156,939,Airport,17,Trip Completed,7/11/2016 18:25,7/11/2016 19:26,18,19,Late evening(17-21)
157,2628,Airport,17,Trip Completed,7/12/2016 22:10,7/12/2016 23:25,22,23,Night(22-24)
158,3021,City,17,Trip Completed,7/13/2016 7:33,7/13/2016 8:26,7,8,Early morning(05-08)
159,4743,City,17,Trip Completed,7/14/2016 14:54,7/14/2016 15:39,14,15,Afternoon(12-16)
160,4981,City,17,Trip Completed,7/14/2016 18:47,7/14/2016 19:43,18,19,Late evening(17-21)
161,5367,Airport,17,Trip Completed,7/14/2016 23:35,7/15/2016 0:25,23,0,Night(22-24)
162,5471,Airport,17,Trip Completed,7/15/2016 4:48,7/15/2016 5:47,4,5,Mid-night(00-04)
163,5988,Airport,17,Trip Completed,7/15/2016 11:48,7/15/2016 12:55,11,12,Morning(09-11)
164,6477,Airport,17,Trip Completed,7/15/2016 20:21,7/15/2016 21:00,20,21,Late evening(17-21)
165,499,City,18,Trip Completed,7/11/2016 9:39,7/11/2016 10:16,9,10,Morning(09-11)
166,1147,Airport,18,Trip Completed,7/11/2016 20:42,7/11/2016 21:18,20,21,Late evening(17-21)
167,1410,Airport,18,Trip Completed,7/12/2016 3:14,7/12/2016 4:27,3,4,Mid-night(00-04)
168,1804,Airport,18,Trip Completed,7/12/2016 9:12,7/12/2016 9:57,9,9,Morning(09-11)
169,1949,Airport,18,Trip Completed,7/12/2016 11:32,7/12/2016 12:13,11,12,Morning(09-11)
170,2713,City,18,Trip Completed,7/13/2016 1:46,7/13/2016 2:37,1,2,Mid-night(00-04)
171,2845,City,18,Trip Completed,7/13/2016 5:28,7/13/2016 6:10,5,6,Early morning(05-08)
172,3943,Airport,18,Trip Completed,7/13/2016 22:35,7/13/2016 23:33,22,23,Night(22-24)
173,4792,City,18,Trip Completed,7/14/2016 16:47,7/14/2016 17:34,16,17,Afternoon(12-16)
174,5207,Airport,18,Trip Completed,7/14/2016 20:57,7/14/2016 21:56,20,21,Late evening(17-21)
175,5890,City,18,Trip Completed,7/15/2016 9:43,7/15/2016 10:55,9,10,Morning(09-11)
176,494,City,19,Trip Completed,7/11/2016 9:36,7/11/2016 10:02,9,10,Morning(09-11)
177,1485,City,19,Trip Completed,7/12/2016 5:21,7/12/2016 6:35,5,6,Early morning(05-08)
178,2042,City,19,Trip Completed,7/12/2016 14:30,7/12/2016 15:09,14,15,Afternoon(12-16)
179,2561,Airport,19,Trip Completed,7/12/2016 21:29,7/12/2016 22:44,21,22,Late evening(17-21)
180,3813,Airport,19,Trip Completed,7/13/2016 21:06,7/13/2016 21:46,21,21,Late evening(17-21)
181,4260,Airport,19,Trip Completed,7/14/2016 6:11,7/14/2016 6:59,6,6,Early morning(05-08)
182,4395,City,19,Trip Completed,7/14/2016 8:00,7/14/2016 8:54,8,8,Early morning(05-08)
183,5919,City,19,Trip Completed,7/15/2016 10:03,7/15/2016 10:59,10,10,Morning(09-11)
184,6002,Airport,19,Trip Completed,7/15/2016 12:04,7/15/2016 12:53,12,12,Afternoon(12-16)
185,468,City,20,Trip Completed,7/11/2016 9:20,7/11/2016 10:05,9,10,Morning(09-11)
186,693,Airport,20,Trip Completed,7/11/2016 13:51,7/11/2016 15:01,13,15,Afternoon(12-16)
187,1178,City,20,Trip Completed,7/11/2016 21:05,7/11/2016 22:06,21,22,Late evening(17-21)
188,2103,City,20,Trip Completed,7/12/2016 16:08,7/12/2016 17:18,16,17,Afternoon(12-16)
189,2292,Airport,20,Trip Completed,7/12/2016 18:46,7/12/2016 19:23,18,19,Late evening(17-21)
190,3339,City,20,Trip Completed,7/13/2016 12:40,7/13/2016 13:30,12,13,Afternoon(12-16)
191,3694,City,20,Trip Completed,7/13/2016 19:33,7/13/2016 20:35,19,20,Late evening(17-21)
192,4469,City,20,Trip Completed,7/14/2016 8:45,7/14/2016 9:48,8,9,Early morning(05-08)
193,6432,City,20,Trip Completed,7/15/2016 19:50,7/15/2016 20:30,19,20,Late evening(17-21)
194,1895,City,21,Trip Completed,7/12/2016 10:20,7/12/2016 10:52,10,10,Morning(09-11)
195,1981,Airport,21,Trip Completed,7/12/2016 12:23,7/12/2016 12:56,12,12,Afternoon(12-16)
196,3744,Airport,21,Trip Completed,7/13/2016 20:28,7/13/2016 21:22,20,21,Late evening(17-21)
197,4433,Airport,21,Trip Completed,7/14/2016 8:26,7/14/2016 9:12,8,9,Early morning(05-08)
198,6039,Airport,21,Trip Completed,7/15/2016 13:11,7/15/2016 13:38,13,13,Afternoon(12-16)
199,6543,City,21,Trip Completed,7/15/2016 20:54,7/15/2016 22:12,20,22,Late evening(17-21)
200,110,City,22,Trip Completed,7/11/2016 5:05,7/11/2016 6:06,5,6,Early morning(05-08)
201,362,City,22,Trip Completed,7/11/2016 8:01,7/11/2016 9:18,8,9,Early morning(05-08)
202,666,Airport,22,Trip Completed,7/11/2016 13:02,7/11/2016 13:45,13,13,Afternoon(12-16)
203,926,City,22,Trip Completed,7/11/2016 18:28,7/11/2016 19:34,18,19,Late evening(17-21)
204,1180,Airport,22,Trip Completed,7/11/2016 21:01,7/11/2016 22:14,21,22,Late evening(17-21)
205,1900,City,22,Trip Completed,7/12/2016 10:32,7/12/2016 11:42,10,11,Morning(09-11)
206,2506,City,22,Trip Completed,7/12/2016 21:01,7/12/2016 21:38,21,21,Late evening(17-21)
207,3064,City,22,Trip Completed,7/13/2016 8:02,7/13/2016 8:58,8,8,Early morning(05-08)
208,3327,Airport,22,Trip Completed,7/13/2016 12:24,7/13/2016 13:23,12,13,Afternoon(12-16)
209,3601,City,22,Trip Completed,7/13/2016 18:39,7/13/2016 19:29,18,19,Late evening(17-21)
210,4768,Airport,22,Trip Completed,7/14/2016 15:39,7/14/2016 16:49,15,16,Afternoon(12-16)
211,5142,City,22,Trip Completed,7/14/2016 20:17,7/14/2016 20:48,20,20,Late evening(17-21)
212,5366,Airport,22,Trip Completed,7/14/2016 23:27,7/15/2016 0:19,23,0,Night(22-24)
213,5575,City,22,Trip Completed,7/15/2016 5:53,7/15/2016 6:50,5,6,Early morning(05-08)
214,5902,City,22,Trip Completed,7/15/2016 9:52,7/15/2016 10:37,9,10,Morning(09-11)
215,6694,Airport,22,Trip Completed,7/15/2016 22:45,7/15/2016 23:17,22,23,Night(22-24)
216,523,Airport,23,Trip Completed,7/11/2016 9:48,7/11/2016 10:37,9,10,Morning(09-11)
217,747,City,23,Trip Completed,7/11/2016 15:53,7/11/2016 16:43,15,16,Afternoon(12-16)
218,1371,Airport,23,Trip Completed,7/12/2016 0:22,7/12/2016 1:33,0,1,Mid-night(00-04)
219,1553,City,23,Trip Completed,7/12/2016 6:09,7/12/2016 7:09,6,7,Early morning(05-08)
220,1692,Airport,23,Trip Completed,7/12/2016 7:52,7/12/2016 9:01,7,9,Early morning(05-08)
221,2114,City,23,Trip Completed,7/12/2016 16:36,7/12/2016 17:21,16,17,Afternoon(12-16)
222,2742,City,23,Trip Completed,7/13/2016 3:07,7/13/2016 3:51,3,3,Mid-night(00-04)
223,4273,City,23,Trip Completed,7/14/2016 6:17,7/14/2016 7:02,6,7,Early morning(05-08)
224,4668,City,23,Trip Completed,7/14/2016 12:25,7/14/2016 13:34,12,13,Afternoon(12-16)
225,5425,City,23,Trip Completed,7/15/2016 2:23,7/15/2016 3:08,2,3,Mid-night(00-04)
226,5488,City,23,Trip Completed,7/15/2016 4:53,7/15/2016 6:00,4,6,Mid-night(00-04)
227,5781,City,23,Trip Completed,7/15/2016 8:35,7/15/2016 9:42,8,9,Early morning(05-08)
228,5966,Airport,23,Trip Completed,7/15/2016 10:54,7/15/2016 11:58,10,11,Morning(09-11)
229,6122,City,23,Trip Completed,7/15/2016 15:26,7/15/2016 16:29,15,16,Afternoon(12-16)
230,357,Airport,24,Trip Completed,7/11/2016 8:00,7/11/2016 9:08,8,9,Early morning(05-08)
231,1068,City,24,Trip Completed,7/11/2016 19:52,7/11/2016 20:48,19,20,Late evening(17-21)
232,2689,Airport,24,Trip Completed,7/13/2016 0:34,7/13/2016 1:49,0,1,Mid-night(00-04)
233,2791,City,24,Trip Completed,7/13/2016 4:56,7/13/2016 5:33,4,5,Mid-night(00-04)
234,3321,City,24,Trip Completed,7/13/2016 12:23,7/13/2016 13:25,12,13,Afternoon(12-16)
235,3423,Airport,24,Trip Completed,7/13/2016 15:52,7/13/2016 16:50,15,16,Afternoon(12-16)
236,3761,Airport,24,Trip Completed,7/13/2016 20:35,7/13/2016 21:39,20,21,Late evening(17-21)
237,4140,City,24,Trip Completed,7/14/2016 4:48,7/14/2016 6:05,4,6,Mid-night(00-04)
238,4656,City,24,Trip Completed,7/14/2016 12:06,7/14/2016 12:49,12,12,Afternoon(12-16)
239,4931,Airport,24,Trip Completed,7/14/2016 18:21,7/14/2016 18:54,18,18,Late evening(17-21)
240,5268,City,24,Trip Completed,7/14/2016 21:29,7/14/2016 22:30,21,22,Late evening(17-21)
241,5811,City,24,Trip Completed,7/15/2016 8:46,7/15/2016 9:26,8,9,Early morning(05-08)
242,6139,Airport,24,Trip Completed,7/15/2016 15:45,7/15/2016 16:40,15,16,Afternoon(12-16)
243,6333,Airport,24,Trip Completed,7/15/2016 18:41,7/15/2016 19:53,18,19,Late evening(17-21)
244,773,City,25,Trip Completed,7/11/2016 16:23,7/11/2016 17:21,16,17,Afternoon(12-16)
245,1123,City,25,Trip Completed,7/11/2016 20:20,7/11/2016 21:18,20,21,Late evening(17-21)
246,2667,Airport,25,Trip Completed,7/12/2016 23:35,7/13/2016 0:40,23,0,Night(22-24)
247,2833,City,25,Trip Completed,7/13/2016 5:27,7/13/2016 6:19,5,6,Early morning(05-08)
248,3396,City,25,Trip Completed,7/13/2016 14:59,7/13/2016 15:57,14,15,Afternoon(12-16)
249,3590,City,25,Trip Completed,7/13/2016 18:31,7/13/2016 19:31,18,19,Late evening(17-21)
250,3762,City,25,Trip Completed,7/13/2016 20:38,7/13/2016 21:21,20,21,Late evening(17-21)
251,4566,City,25,Trip Completed,7/14/2016 9:48,7/14/2016 10:22,9,10,Morning(09-11)
252,4862,City,25,Trip Completed,7/14/2016 17:37,7/14/2016 18:41,17,18,Late evening(17-21)
253,5564,Airport,25,Trip Completed,7/15/2016 5:41,7/15/2016 6:53,5,6,Early morning(05-08)
254,6187,City,25,Trip Completed,7/15/2016 17:11,7/15/2016 18:08,17,18,Late evening(17-21)
255,6642,City,25,Trip Completed,7/15/2016 22:07,7/15/2016 22:54,22,22,Night(22-24)
256,322,City,26,Trip Completed,7/11/2016 7:31,7/11/2016 8:10,7,8,Early morning(05-08)
257,793,City,26,Trip Completed,7/11/2016 17:04,7/11/2016 18:06,17,18,Late evening(17-21)
258,898,Airport,26,Trip Completed,7/11/2016 18:14,7/11/2016 19:09,18,19,Late evening(17-21)
259,1258,City,26,Trip Completed,7/11/2016 21:51,7/11/2016 23:00,21,23,Late evening(17-21)
260,2832,City,26,Trip Completed,7/13/2016 5:20,7/13/2016 6:14,5,6,Early morning(05-08)
261,3139,City,26,Trip Completed,7/13/2016 8:54,7/13/2016 9:22,8,9,Early morning(05-08)
262,3438,City,26,Trip Completed,7/13/2016 16:12,7/13/2016 17:13,16,17,Afternoon(12-16)
263,3966,Airport,26,Trip Completed,7/13/2016 22:50,7/13/2016 23:27,22,23,Night(22-24)
